LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000","360 PROJECT MANAGEMENT, LLC",125 W LIBERTY RD,SLIPPERY ROCK,PA,16057,312230,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,11,06/12/2020,Intuit Financing Inc.,PA-16
"e $150,000-350,000",360 PSG INC,455 Commerce Drive Suite #3,Buffalo,NY,14228,541511,Corporation,Unanswered,Male Owned,Non-Veteran,,19,04/27/2020,Manufacturers and Traders Trust Company,NY-26
b $2-5 million,"360 PT MANAGEMENT, LLC",1076 W CHANDLER BLVD,CHANDLER,AZ,85224,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,156,04/09/2020,Western Alliance Bank,AZ-09
"d $350,000-1 million",360 PUBLIC RELATIONS LLC,200 STATE ST STE S6,BOSTON,MA,2109,541820,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,05/03/2020,"Bank of America, National Association",MA-08
"d $350,000-1 million","360 RAIL SERVICES, LLC",385 Inverness Pkwy Ste 250,Englewood,CO,80112,237990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,05/01/2020,"JPMorgan Chase Bank, National Association",CO-06
"e $150,000-350,000","360 RISK MANAGEMENT, INC.",21500 Haggerty Rd. 140,Northville,MI,48167,524210,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",MI-11
"e $150,000-350,000","360 SERVICES OF VIRGINIA, INC",1120 Lawson Cove Circle,VIRGINIA BEACH,VA,23455,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Towne Bank,VA-02
"d $350,000-1 million","360 SERVICES ORGANIZATION, LLC",360 Linden Oaks Drive,ROCHESTER,NY,14625,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,101,04/29/2020,KeyBank National Association,NY-25
"d $350,000-1 million",360 SHEET METAL LLC,PO BOX 5708,VANCOUVER,WA,98668,238390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,Columbia State Bank,WA-03
"d $350,000-1 million",360 SLD RESOURCE MANAGEMENT CO LLC,7 RENAISSANCE SQUARE - 4TH FL,WHITE PLAINS,NY,10601,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/28/2020,Sterling National Bank,NY-17
"e $150,000-350,000",360 SOLUTIONS INC,45 WEST 34TH STREET - SUITE 1001,NEW YORK,NY,10001,541618,Corporation,Unanswered,Unanswered,Unanswered,,15,04/28/2020,"TD Bank, National Association",NY-10
"e $150,000-350,000","360 SOLUTIONS, LLC",14 GRENADA CT,MANHATTAN BEACH,CA,90266,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,23,04/15/2020,"Hana Small Business Lending, Inc.",CA-33
"d $350,000-1 million","360 SPECIALTIES, LLC",167 WHEATEN DR,WOODSTOCK,GA,30188,238990,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,Navy FCU,GA-06
"e $150,000-350,000",360 STAFFING LLC,672 S BROADWAY BLVD,SALINA,KS,67401,561311,Partnership,White,Male Owned,Non-Veteran,,40,04/08/2020,First Bank Kansas,KS-01
"d $350,000-1 million","360 SUPPORT SERVICES, INC",124 East Walnut Avenue,Monrovia,CA,91016,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/30/2020,Celtic Bank Corporation,CA-32
"d $350,000-1 million",360 TAX SERVICES LLC,3605 Columbia Street,Orlando,FL,32805,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,06/08/2020,Celtic Bank Corporation,FL-10
"d $350,000-1 million","360 TIRE GROUP, LLC",4932 Interstate 30 Frontage Rd.,Caddo Mills,TX,75135,326212,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,30,04/13/2020,Lakeside Bank,TX-04
"e $150,000-350,000",360 TOWING SOLUTIONS LLC,"14140 Midway Rd., #100",DALLAS,TX,75244,488410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/15/2020,Texas Security Bank,TX-24
"d $350,000-1 million",360 WALL SYSTEMS INC.,6259 Bury Drive,EDEN PRAIRIE,MN,55346,238910,Subchapter S Corporation,White,Male Owned,Non-Veteran,,85,04/07/2020,Choice Financial Group,MN-03
"e $150,000-350,000",360 WRAPS INC.,775 ROYAL LN Suite 100,DALLAS,TX,75261,453998,Corporation,White,Male Owned,Veteran,,32,04/28/2020,"Bank of America, National Association",TX-24
"e $150,000-350,000",360 YOUTH SERVICES,1305 W Oswego Rd,NAPERVILLE,IL,60540,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,61,04/07/2020,Busey Bank,IL-11
"e $150,000-350,000","360-RENTS, INC.",247 28th Avenue South,WAITE PARK,MN,56387,423810,Subchapter S Corporation,White,Male Owned,Non-Veteran,,9,04/05/2020,American Heritage National Bank,MN-06
"e $150,000-350,000",3601 UNION RD ENTERPRISES LLC,294 McNair Rd,Williamsville,NY,14221,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,156,04/13/2020,"Evans Bank, National Association",NY-26
"e $150,000-350,000",3602 RESTAURANT GROUP LLC,3602 W 12TH ST,HOUSTON,TX,77008,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,33,05/03/2020,"Bank of America, National Association",TX-18
"e $150,000-350,000","3607 S.E. HIGHWAY 138 OPERATIONS, LLC",2825 Breckinridge Blvd STE 100,Duluth,GA,30096,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,33,05/03/2020,Synovus Bank,GA-07
"d $350,000-1 million","3609 SHIRE, LTD",3609 Shire Blvd,RICHARDSON,TX,75082,722511,Partnership,Unanswered,Unanswered,Unanswered,,64,04/14/2020,PlainsCapital Bank,TX-03
"e $150,000-350,000","360BC GROUP, INC.",1845 W. Orangewood Ave,Orange,CA,92868,541613,Corporation,Unanswered,Unanswered,Unanswered,,23,05/03/2020,Celtic Bank Corporation,CA-46
"d $350,000-1 million","360CONNECT, L.P.",5926 BALCONES DR STE 130,AUSTIN,TX,78731,541613,Partnership,Unanswered,Unanswered,Unanswered,,8,04/14/2020,Truist Bank d/b/a Branch Banking & Trust Co,TX-10
"e $150,000-350,000","360FACTORS, INC.","1101 S. Capital of Texas Hwy Building J, Suite 202",AUSTIN,TX,78746,541511,Corporation,Unanswered,Unanswered,Unanswered,,8,04/15/2020,Cross River Bank,TX-25
"e $150,000-350,000",360IA LLC,600 JEFFERSON ST STE 730,LAFAYETTE,LA,70501,541613,Corporation,Unanswered,Unanswered,Unanswered,,25,04/04/2020,Gulf Coast Bank,LA-03
"d $350,000-1 million","360PARTNERS CONSULTING, L.P.",6810 Vine St,AUSTIN,TX,78757,541613,Partnership,White,Male Owned,Unanswered,,23,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,TX-10
"d $350,000-1 million","360SWEATER COMPANY, LLC","1447 Cloverfield Blvd, Suire 100",SANTA MONICA,CA,90404,424330,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,27,04/14/2020,"OneWest Bank, A Division of",CA-33
"e $150,000-350,000","360WATER, INC.",965 WEST THIRD AVE,COLUMBUS,OH,43212,611699,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,05/01/2020,"JPMorgan Chase Bank, National Association",OH-15
"d $350,000-1 million","361 CAPITAL, LLC","4600 S. Syracuse St, Suite 500",DENVER,CO,80237,523920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,04/15/2020,"BOKF, National Association",CO-01
"e $150,000-350,000","361 HANOVER STREET, INC.",361 Hanover Steeet,BOSTON,MA,2113,722511,Corporation,Unanswered,Male Owned,Unanswered,,25,04/11/2020,Everett Co-operative Bank,MA-08
"d $350,000-1 million","361 SERVICES, INCORPORATED",4700 S SYRACUSE ST STE 800,DENVER,CO,80237,561312,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36,04/07/2020,FirstBank,CO-01
"e $150,000-350,000",3611 JOINT VENTURE LLC,211 HEWES STREET,BROOKLYN,NY,11211,531190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/29/2020,Signature Bank,NY-12
"e $150,000-350,000",363 BAKE OPERATING LLC,363 Seventh Avenue,New York,NY,10001,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,04/27/2020,Greater Nevada CU,NY-10
"e $150,000-350,000",363 MULBERRY INVESTMENTS LLC,363 MULBERRY ST,MEMPHIS,TN,38103,523910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,63,04/28/2020,Commercial Bank and Trust Company,TN-09
"d $350,000-1 million",3631 FOOD SERVICES CORP,1490 Old Country Road,RIVERHEAD,NY,11901,722511,Corporation,White,Male Owned,Non-Veteran,,120,04/09/2020,"TD Bank, National Association",NY-01
"e $150,000-350,000",3636 AUTO BODY CORP DBA WEST SUFFOLK AUTO BODY,400 ROUTE 109,WEST BABYLON,NY,11704,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,05/01/2020,"JPMorgan Chase Bank, National Association",NY-02
"e $150,000-350,000",3637 CORPORATION,494 Elden Street,HERNDON,VA,20170,722511,Corporation,Unanswered,Unanswered,Unanswered,,68,04/15/2020,John Marshall Bank,VA-10
"e $150,000-350,000",365 AUTO DETAIL LLC,10105 John Price Road,Charlotte,NC,28273,811111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,05/03/2020,Customers Bank,NC-12
"d $350,000-1 million",365 DELIVERY INC,440 E HUNTINGTON DR STE 300,ARCADIA,CA,91006,488999,Corporation,Unanswered,Unanswered,Unanswered,,147,04/10/2020,"Bank of America, National Association",CA-27
"e $150,000-350,000","365 HOLDINGS, LLC",9452 Grace Dr,TWINSBURG,OH,44087,551112,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,39,04/09/2020,Byline Bank,OH-14
"e $150,000-350,000",365 HOME CARE INC.,316 E 6th Ave,tarentum,PA,15084,621610,Corporation,Unanswered,Unanswered,Unanswered,,38,05/02/2020,"Kabbage, Inc.",PA-17
"d $350,000-1 million",365 HOSPICE LLC,119 S MAIN ST,CARROLLTOWN,PA,15722,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,74,04/10/2020,AmeriServ Financial Bank,PA-15
"e $150,000-350,000",365 MACHINE INC,27830 Commercial Park Lane,tomball,TX,77375,332710,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,05/03/2020,"Zions Bank, A Division of",TX-10
c $1-2 million,365 OPERATING COMPANY LLC,200 CONNECTICUT AVE Suite 5A,NORWALK,CT,6854,518210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,72,06/09/2020,"Bank of America, National Association",CT-04
"d $350,000-1 million",365 PERSONNEL INC,970 Kansas Ave,KANSAS CITY,KS,66105,561311,Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Simmons Bank,KS-03
"e $150,000-350,000",365 SEKI INC.,365 W 46TH ST,NEW YORK,NY,10036,999990,Corporation,Unanswered,Unanswered,Non-Veteran,,32,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",365 SPACE SOLUTIONS INCORPORATION,44 LINBERGER DR,BRIDGEWATER,NJ,8807,238350,Corporation,Unanswered,Unanswered,Unanswered,,20,05/02/2020,"Bank of America, National Association",NJ-07
"d $350,000-1 million",365 WORX INC.,4401 NW 4th St Suite 121,OKLAHOMA CITY,OK,73107,561320,Corporation,White,Male Owned,Non-Veteran,,136,04/08/2020,The First State Bank,OK-05
"d $350,000-1 million",3650 ASSOCIATES LLC,2977 McFarlane Rd Suite 300,MIAMI,FL,33133,561330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,34,04/05/2020,City National Bank of Florida,FL-27
"e $150,000-350,000","366 PROCESSING SERVICES, INC.",5115 E. Hwy 80,SOMERSET,KY,42501,336390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,04/09/2020,"First & Farmers National Bank, Inc.",KY-05
"e $150,000-350,000",3660 BROADWAY RESTAURANT LLC.,3658 Broadway,New York,NY,10031,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,05/03/2020,"Citibank, N.A.",NY-13
"e $150,000-350,000",3660 MARKETING,3660 WILSHIRE BLVD STE 850,LOS ANGELES,CA,90010,541810,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,36,04/15/2020,CalPrivate Bank,CA-34
"e $150,000-350,000",3662 INVESTORS LP,3662 CAMP WISDOM RD Ste 1084,DALLAS,TX,75237,531390,Partnership,Unanswered,Unanswered,Unanswered,,13,04/07/2020,Origin Bank,TX-30
"e $150,000-350,000",3679 COMMERCE PLACE INC.,3679 Commerce Place,HAMBURG,NY,14075,722511,Corporation,Unanswered,Unanswered,Unanswered,,28,04/14/2020,Manufacturers and Traders Trust Company,NY-27
"e $150,000-350,000","3683 WASHINGTON HEIGHTS PIZZA, LLC",736 W. 181St Street,New York,NY,10033,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,35,08/05/2020,New York Community Bank,NY-13
"e $150,000-350,000","3685 JACKSON ROAD, INC.",2305 Woodview Lane,Ann Arbor,MI,48108,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,53,04/28/2020,Level One Bank,MI-12
"e $150,000-350,000",36CREATIVE LLC,23 SOUTH BROADWAY STE 11,SALEM,NH,3079,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/07/2020,Enterprise Bank and Trust Company,NH-02
"e $150,000-350,000",36ENERGY,5579 LAVENDER FARMS RD,POWDER SPRINGS,GA,30127,541690,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/10/2020,First Horizon Bank,GA-13
"d $350,000-1 million",36O GLOBAL LOGISTICS,"2784 Ponkan Summit Drive,Apopka",Apopka,FL,32712,111211,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,43,06/24/2020,Customers Bank,FL-10
"d $350,000-1 million",36TH & HWY 90 CORP,5815 CALLAGHAN RD SUITE 100,SAN ANTONIO,TX,78228,722513,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,118,04/07/2020,Jefferson Bank,TX-20
"e $150,000-350,000","36TH STREET ONE, LLC",4000 N FEDERAL HWY STE 206,BOCA RATON,FL,33431,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/28/2020,"HSBC Bank USA, National Association",FL-22
"e $150,000-350,000","36TH STREET THREE, LLC",3570 NW 74TH AVE,Miami,FL,33122,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,04/28/2020,"HSBC Bank USA, National Association",FL-25
"d $350,000-1 million",36TH STREET TWO LLC,3550 NW 74TH AVE,MIAMI,FL,33122,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,61,04/28/2020,"HSBC Bank USA, National Association",FL-25
"d $350,000-1 million",37 BUILDING PRODUCTS LTD,3133 RANGER HWY,WEATHERFORD,TX,76088,327310,Partnership,Unanswered,Female Owned,Unanswered,,258,04/08/2020,PlainsCapital Bank,TX-12
c $1-2 million,37 CONCRETE LLC,3133 RANGER HWY,WEATHERFORD,TX,76088,327390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,136,04/14/2020,PlainsCapital Bank,TX-12
"e $150,000-350,000",37 CONSTRUCTION SPECIALISTS INC,601 COMMERCE DR STE 150,ROSEVILLE,CA,95678,236115,Corporation,Unanswered,Unanswered,Unanswered,,23,05/03/2020,"Bank of America, National Association",CA-04
"e $150,000-350,000",37 COURT INVESTMENT INC,509 1/2 DUVAL ST,KEY WEST,FL,33040,722511,Corporation,Unanswered,Unanswered,Unanswered,,23,04/09/2020,First Horizon Bank,FL-26
"e $150,000-350,000",37 MINING LLC,3133 RANGER HWY,WEATHERFORD,TX,76088,212399,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/14/2020,PlainsCapital Bank,TX-12
"e $150,000-350,000","37 N MAIN STREET ENTERPRISES, LLC",37 N MAIN ST,DOYLESTOWN,PA,18901,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,20,04/15/2020,Quaint Oak Bank,PA-01
b $2-5 million,37 NORTH CHEMUNG STREET OPERATING COMPANY LLC,37 North Chemung Street,WAVERLY,NY,14892,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,303,04/27/2020,Bank Leumi USA,NY-23
"d $350,000-1 million",37 TRUCKING LLC,3133 RANGER HWY,WEATHERFORD,TX,76088,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,76,04/14/2020,PlainsCapital Bank,TX-12
"e $150,000-350,000",37 WELLNESS LLC,10 North Nansemond Street,Richmond,VA,23221,621999,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,05/03/2020,Cross River Bank,VA-04
"e $150,000-350,000","37-54 MEAT &AMP; PRODUCE, INC.",37 - 54 90th street,Jackson Heights,NY,11372,445110,Corporation,Hispanic,Unanswered,Unanswered,,57,05/14/2020,Trenton Business Assistance Corporation,NY-14
"d $350,000-1 million","3705 GROUP, LLC",3705 W SUNSET BLVD,LOS ANGELES,CA,90026,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50,05/01/2020,"JPMorgan Chase Bank, National Association",CA-34
"e $150,000-350,000","371 COMMERCIAL STREET, LLC",371 COMMERCIAL STREET,PROVINCETOWN,MA,2657,722511,Corporation,White,Male Owned,Non-Veteran,,42,04/13/2020,Cape Cod Five Cents Savings Bank,MA-09
"d $350,000-1 million",3720 CROYDON LLC,3720 Collins Avenue,MIAMI BEACH,FL,33140,721110,Partnership,Unanswered,Unanswered,Unanswered,,94,04/06/2020,City National Bank of Florida,FL-27
"d $350,000-1 million","3739 WEST CHESTER PIKE, LLC",3739 w Chester pike,NEWTOWN SQUARE,PA,19073,531210,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,86,04/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,PA-06
"e $150,000-350,000",3739-3741 ROBERTSON BLVD LLC,3741 ROBERTSON BLVD,CULVER CITY,CA,90232,561790,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,05/23/2020,"Bank of America, National Association",CA-37
b $2-5 million,375 PARK FOOD LLC,99 E 52nd Street 0.0,New York,NY,10022,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,239,04/10/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",375 SOUTH LLC,375 South End Ave Hudson River Esplanade,New York,NY,10280,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,23,04/30/2020,"Blue Ridge Bank, National Association",NY-10
"e $150,000-350,000","3755 PROPERTY HOLDINGS, LLC",3755 NW 78TH AVE,DORAL,FL,33166,721110,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,34,04/27/2020,Ocean Bank,FL-25
"d $350,000-1 million",376 5TH LLC,614 5TH AVE. SUITE A,SAN DIEGO,CA,92101,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,140,04/28/2020,Western Alliance Bank,CA-53
"e $150,000-350,000",377 DEGREES INC,2545 PHELPS STREET,SAN FRANCISCO,CA,94124,722320,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",CA-12
c $1-2 million,377 GREENWICH OPERATING LLC,871  7TH AVE,NEW YORK,NY,10019,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/13/2020,Coastal States Bank,NY-10
"e $150,000-350,000",377 LASALLE GROUP LLC,377 Rt 17 S,HASBROUCK HEIGHTS,NJ,7604,531312,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,31,04/08/2020,ConnectOne Bank,NJ-09
"e $150,000-350,000",378-392 WASHINGTON ST CAR WASH,390 WASHINGTON STREET,NEWARK,NJ,7102,811192,Corporation,Unanswered,Unanswered,Unanswered,,42,04/10/2020,"TD Bank, National Association",NJ-10
"e $150,000-350,000",37TH PARALLEL PROPERTIES INVESTMENT GROUP LLC,"3200 Rockbridge Street, Suite 200",RICHMOND,VA,23230,531110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/08/2020,Truist Bank d/b/a Branch Banking & Trust Co,VA-07
"e $150,000-350,000",37TH STREET COOKING INC.,105 E 37TH ST,SAVANNAH,GA,31401,722511,Corporation,Unanswered,Unanswered,Unanswered,,42,04/11/2020,Synovus Bank,GA-01
b $2-5 million,"38 40 FRENEAU AVENUE OPERATING COMPANY,LLC",40 Freneau Ave.,Matawan,NJ,7747,623110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,212,04/28/2020,Valley National Bank,NJ-06
"e $150,000-350,000","38 DAYTONA, LLC",1560 Outlet Blvd,DAYTONA BEACH,FL,32117,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,04/05/2020,Choice Financial Group,FL-06
"d $350,000-1 million","38 DEGREES NORTH LATITUDE BUILDERS, INC.",40 Belvedere St Frnt 1,San Rafael,CA,94901,236115,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,24,04/13/2020,First Republic Bank,CA-02
"e $150,000-350,000","38 F& B, LLC",25 West 38th Street,New York,NY,10018,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,04/15/2020,Manufacturers and Traders Trust Company,NY-12
"e $150,000-350,000","38 FOODS, LLC",3000 S BROADWAY,MINOT,ND,58701,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/05/2020,Choice Financial Group,ND-00
"e $150,000-350,000","38 GRAND FORKS, LLC",3451 32ND AVE S,GRAND FORKS,ND,58201,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/05/2020,Choice Financial Group,ND-00
"d $350,000-1 million",38 MACDOUGAL LLC DBA HUNDRED ACRES,38 MACDOUGAL ST,NEW YORK,NY,10012,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"e $150,000-350,000","38 NORTH, LLC",1001 R ST,SACRAMENTO,CA,95811,722511,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,0,04/10/2020,Merchants Bank of Commerce,CA-06
"e $150,000-350,000",38 WASHINGTON LLC,38-40 Washington Street,HUDSON,MA,1749,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,8,04/07/2020,Avidia Bank,MA-03
"e $150,000-350,000","380 AUCTION & DISCOUNT WAREHOUSE, INC",4320 FAIRVIEW DR,MURRYSVILLE,PA,15668,423110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/29/2020,First Commonwealth Bank,PA-18
"e $150,000-350,000",380 FAIRFAX LLC,2442 SAINT ST S,DENVER,CO,80210,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,05/03/2020,"U.S. Bank, National Association",CO-01
"e $150,000-350,000",380 LENOX MEAT CORP,380 Lenox Avenue,New York,NY,10027,445110,Corporation,Unanswered,Male Owned,Unanswered,,47,05/21/2020,Popular Bank,NY-13
"d $350,000-1 million","3800 HILLSBOROUGH DURHAM, LP",255 Alhambra Circle Suite 760,CORAL GABLES,FL,33134,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,,04/27/2020,First American Bank,FL-27
"e $150,000-350,000",3801 GRAND ASSOCIATES LP,3408 WOODLAND AVE SUITE 504,WEST DES MOINES,IA,50266,531110,Partnership,Unanswered,Unanswered,Unanswered,,,04/09/2020,Bankers Trust Company,IA-03
"d $350,000-1 million","3801 MANAGEMENT, LLC","4416 EAST WEST HWY, #410",BETHESDA,MD,20814,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,04/15/2020,"Capital Bank, National Association",MD-08
c $1-2 million,3803 HOSPITALITY LLC,3803 13TH AVE S,FARGO,ND,58103,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,180,04/03/2020,First International Bank & Trust,ND-00
"e $150,000-350,000",3808 BOSTON ROAD CAR WASH INC,3808 Boston Road,Bronx,NY,10475,811192,Corporation,Unanswered,Male Owned,Non-Veteran,,26,05/01/2020,Customers Bank,NY-16
"d $350,000-1 million",382 COMMUNICATIONS CORPORATION,45 Dan Rd Ste 130,CANTON,MA,2021,517911,Corporation,Unanswered,Female Owned,Unanswered,,41,04/15/2020,"Bank of America, National Association",MA-08
"e $150,000-350,000","3821 BROADWAY CAFE, LLC",3821 BROADWAY,NEW YORK,NY,10032,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/01/2020,"JPMorgan Chase Bank, National Association",NY-13
"d $350,000-1 million",3821 FOOD CORP. DBA FOOD TOWN,159 n 3rd Street,BROOKLYN,NY,11211,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,67,05/01/2020,"JPMorgan Chase Bank, National Association",NY-12
"d $350,000-1 million",3835 MAIN LLC,3835 Main St,Manchester,VT,5254,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,90,04/15/2020,Mascoma Bank,VT-00
"e $150,000-350,000",385 CENTRAL GLASS &AMP; MIRROR INC,31 CONNECTICUT AVE,NORWICH,CT,6360,236220,Corporation,Unanswered,Unanswered,Unanswered,,21,05/03/2020,"Bank of America, National Association",CT-02
"e $150,000-350,000",3850 INC,3850 W North Ave,CHICAGO,IL,60647,445110,Corporation,Hispanic,Unanswered,Unanswered,,38,04/28/2020,"Bank of America, National Association",IL-04
"d $350,000-1 million","3858 OAKLAWN, LLC",6201 HILLCREST AVE STE 150,DALLAS,TX,75205,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,05/15/2020,"Bank of America, National Association",TX-32
"d $350,000-1 million","386 GEARY OPERATOR, LLC",386 GEARY ST,SAN FRANCISCO,CA,94102,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/05/2020,East West Bank,CA-12
"e $150,000-350,000",389 BROOME LLC,389 BROOME ST,NEW YORK,NY,10013,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/29/2020,"JPMorgan Chase Bank, National Association",NY-10
"d $350,000-1 million","3890 MANAGEMENT, LLC",10854 Midwest Industrial Blvd.,SAINT LOUIS,MO,63132,621511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/14/2020,Great Southern Bank,MO-01
"d $350,000-1 million",38TH STREET BAKERY LLC,350 West 38th Street,NEW YORK,NY,10018,722515,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,46,04/27/2020,BNB Bank,NY-12
c $1-2 million,39 CHICAGO MASTER TENANT LLC,122 W Monroe Street,CHICAGO,IL,60603,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,126,04/15/2020,"PNC Bank, National Association",IL-07
"e $150,000-350,000","39 PRINCE REALTY, LLC",37 -12 Prince St. Ph2,FLUSHING,NY,11354,721110,Limited  Liability Company(LLC),Asian,Unanswered,Unanswered,,24,04/27/2020,Cathay Bank,NY-06
"d $350,000-1 million",39 RUE DE JEAN LLC,39 John Street,CHARLESTON,SC,29403,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,72,04/15/2020,"South State Bank, National Association",SC-06
"e $150,000-350,000",39 VENTURES LP,1591 S 19TH ST,HARRISBURG,PA,17104,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,44,04/06/2020,Mid Penn Bank,PA-10
